2015-10-22 15:59:18.976 D  compileShader glsl=1.50 NVIDIA via Cg compiler type:GL_VERTEX_SHADER code:
#version 150

            in vec4 vertex;
            in vec4 colAttr;
            out vec4 col;
            uniform mat4 matrix;
            void main(void)
            {
                gl_Position = matrix * vertex;
                col = colAttr;
            }
        
2015-10-22 15:59:18.976 D  compileShader glsl=1.50 NVIDIA via Cg compiler type:GL_FRAGMENT_SHADER code:
#version 150

            in vec4 col;
            out vec4 outColor;
            void main(void)
            {
                outColor = col;
            }
        
2015-10-22 15:59:18.976 D  Program compiled successfully
2015-10-22 15:59:18.976 D  Shaders compiled successfully
2015-10-22 15:59:19.147 D  SDLWindow.show()
2015-10-22 15:59:19.228 I  entering message loop
2015-10-22 15:59:21.041 D  Loading image from file @embedded@/btn_pressed.9.png
2015-10-22 15:59:21.041 D  Loading image from file @embedded@/btn_default.9.png
2015-10-22 15:59:21.041 D  Loading image from file @embedded@/btn_normal.9.png
2015-10-22 15:59:21.041 D  Loading image from file @embedded@/btn_hover.9.png
2015-10-22 15:59:21.041 D  Loading image from file @embedded@/btn_disabled.9.png
2015-10-22 15:59:21.041 V  created glyph cache page 1024x1024
2015-10-22 15:59:21.041 D  Destroying font manager
2015-10-22 15:59:21.051 V  created image cache page 1024x1024
2015-10-22 15:59:22.667 D  updateTexture - new texture id=5
2015-10-22 15:59:22.667 D  updateTexture for image cache page - setting image 1024x1024 tx=5
2015-10-22 15:59:42.972 D  Destroying SDL window
2015-10-22 15:59:42.982 D  Destroying window
2015-10-22 15:59:42.982 I  exiting message loop
2015-10-22 15:59:42.982 D  Destroying SDL platform
2015-10-22 15:59:42.982 I  Destroying DrawableCache
2015-10-22 15:59:42.982 I  Destroying ImageCache
2015-10-22 15:59:42.982 I  Destroying Win32FontManager
2015-10-22 15:59:42.982 D  Destroying font manager
2015-10-22 15:59:42.982 E  Non-zero DrawBuf instance count when exiting: 2
2015-10-22 15:59:42.982 D  Exiting main
2015-10-22 15:59:42.982 I  calling Runtime.terminate()
